English	Swedish	POS	source	row
		N?	0	ACM	1474
		N?	0	ICT	2078
		N?	0	ICT	2354
		N?	0	ICT	2757
"""a lot"" ""lots of"""	"""mycket av"" ""massor av"""	N?	0	ICT	1
"""energy efficiency"" ""energy-efficient"""	"energieffektivisering/energieffektivitet ""energieffektiva"""	N?	0	ICT	1037
"""real time"" real-time "	realtid	N?	0	ICT	2702
"ad hoc [Latin: ""for this"" (purpose/task/...)]"	till detta	N?	0	ICT	60
"Uncertainty, ""fuzzy,'' and probabilistic reasoning "	"Osäkra, ""oskarpa"" och probabilistiska resonemang"	N?	0	ACM	1023
(Eclipse’s) Graphical Modeling Project (GMP)		N?	0	ICT	2
(U.S.) Federal Information Processing Standards (FIPS)		N?	0	ICT	1189
* Indicates that the classification is no longer used as of January 1991, but that the item is still searchable for previously classified documents.		N?	0	ACM	1475
** Indicates that the classification is no longer used as of January 1998, but that the item is still searchable for previously classified documents.		N?	0	ACM	1476
1 pulse per second	1 puls per sekund	N?	0	ICT	4
2D method	2D-metod	N?	0	ICT	5
2G (Third Generation)	2G (andra generationen)	N?	0	ICT	6
3-tier Web		N?	0	ICT	17
3D (three dimensional)	tre dimensionell	N?	0	ICT	7
3D modelling	3D-modellering	N?	0	ICT	9
3D- design	3D-utformning	N?	0	ICT	8
3D-model	3D-modell	N?	0	ICT	10
3D-modeling	3D-modellering	N?	0	ICT	11
3D-printing	3D-skrivare	N?	0	ICT	12
3D-visualization	3D-visualisering	N?	0	ICT	13
3D/stereo scene analysis	Scenanalys i 3D/stereo	N?	0	ACM	1069
3G (Third Generation)	3G (tredje generationen)	N?	0	ICT	14
3rd Generation Partnership Project (3GPP)		N?	0	ICT	15
3rd Generation Partnership Project (3GPP2)		N?	0	ICT	16
4G (Fourth Generation)	4G (fjärde generationen)	N?	0	ICT	18
6LoWPAN (IPv6 over Low power Wireless Personal Area Networks)		N?	0	ICT	19
[FIPS-201] Personal Identity Verification (PIV)		N?	0	ICT	3
AAA (Authentication, Authorization, and Accounting)	AAA (autentisering, Authorization och Redovisning)	N?	0	ICT	20
abandon	övergiva	N?	0	ICT	21
ability	förmåga	N?	0	ICT	22
absence	frånvaro	N?	0	ICT	23
absolute semantic	absolut semantisk	N?	0	ICT	24
abstract	abstrakt	N?	0	ICT	25
abstract	abstrakt, abstrakt, abstrakta	A	1	GF	1
abstract data type, abstract data types	abstrakt datatyp, abstrakta datatypen, abstrakta datatyper	N	1	GF	2
Abstract data types	Abstrakta datatyper	N?	0	ACM	437
abstract method, abstract methods	abstrakt metod, abstrakta metoden, abstrakta metodar	N	1	GF	3
abstract program models	abstrakta programmodeller	N?	0	ICT	26
Abstract Syntax Notation.One (ASN.1)		N?	0	ICT	27
abstract, abstracts	utdrag, utdraget, utdrag	N	1	GF	4
Abstracting methods		N?	0	ACM	871
abstraction	abstraktion	N?	0	ICT	28
abstraction, abstractions	abstraktion, abstraktionen, abstraktioner	N	1	GF	5
Abuse and crime involving computers	Missbruk och kriminalitet i samband med datorer	N?	0	ACM	1370
Abuse and crime involving computers [**]	Missbruk och  brott i samband med datorer [**]	N?	0	ACM	1380
accelerate, accelerated, accelerated	 accelerera, accelererade, accelererat	V	1	GF	6
acceleration, accelerations	acceleration, accelerationen, accelerationer	N	1	GF	7
acceleration|s	acceleration|er	N?	0	ICT	29
accelerator, accelerators	accelerator, acceleratorn, acceleratorer	N	1	GF	8
accelerometer	accelerometern	N?	0	ICT	30
accept accepts acceptable accepted accepting	acceptera accepterar godtagbart accepteras acceptera	N?	0	ICT	31
accept, accepted, accepted	 acceptera, accepterade, accepterat	V	1	GF	9
acceptance, acceptances	godkännande, godkännandet, godkännanden	N	1	GF	10
access accessing accessed accessible	tillgång åtkomst nås åtkomlig	N?	0	ICT	32
access control	atkomstkontroll	N?	0	ICT	33
access control, access controls	åtkomstkontroll, åtkomstkontrollen, åtkomstkontroller	N	1	GF	11
Access controls	Åtkomstkontroller	N?	0	ACM	505
Access methods		N?	0	ACM	832
Access methods	Åtkomstmetoder	N?	0	ACM	488
access model	åtkomstmetod	N?	0	ICT	34
Access schemes	Åtkomstscheman	N?	0	ACM	263
access, accesses	åtkomst, åtkomsten, åtkomster	N	1	GF	12
accessibility	tillgänglighet framkomlighet	N?	0	ICT	35
accessibility promise	framkomlighetslöfte	N?	0	ICT	36
accessibility, accessibilities	tillgänglighet, tillgängligheten, tillgängligheter	N	1	GF	13
accommodate|s	ackommodera	N?	0	ICT	37
accompanied	åtföljd	N?	0	ICT	38
accompany, accompanied, accompanied	 medfölja, medföljde, medföljt	V	1	GF	14
according	enligt	N?	0	ICT	39
account accounts	konto konton	N?	0	ICT	40
account, accounts	konto, kontot, konton	N	1	GF	15
accounting	redovisning	N?	0	ICT	41
accounting software, accounting softwares	bokföringsprogram, bokföringsprogrammet, bokföringsprogram	N	1	GF	16
