CD-ROM, CD-ROMs	CD-ROM, CD-ROMet, CD-ROM	N
LED, LEDs	lysdiod, lysdioden, lysdioder	N
LED display, LED displays	lysdiodskärm, lysdiodskärmen, lysdiodskärmar	N
Wi-Fi, Wi-Fis	Wi-Fi, Wi-Fiet, Wi-Fi	N
XHTML, XHTMLs	XHTML, XHTMLet, XHTML	N
abstract	abstrakt, abstrakt	A
abstract, abstracts	utdrag, utdraget, utdrag	N
abstract data type, abstract data types	abstrakt datatyp, abstrakta datatypen, abstrakta datatyper	N
abstract method, abstract methods	abstrakt metod, abstrakta metoden, abstrakta metodar	N
abstraction, abstractions	abstraktion, abstraktionen, abstraktioner	N
accelerate, accelerated, accelerated	 accelerera, accelererade, accelererat	V
acceleration, accelerations	acceleration, accelerationen, accelerationer	N
accelerator, accelerators	accelerator, acceleratorn, acceleratorer	N
accept, accepted, accepted	 acceptera, accepterade, accepterat	V
acceptance, acceptances	godkännande, godkännandet, godkännanden	N
access, accesses	åtkomst, åtkomsten, åtkomster	N
access control, access controls	åtkomstkontroll, åtkomstkontrollen, åtkomstkontroller	N
accessibility, accessibilities	tillgänglighet, tillgängligheten, tillgängligheter	N
accompany, accompanied, accompanied	 medfölja, medföljde, medföljt	V
account, accounts	konto, kontot, konton	N
accounting software, accounting softwares	bokföringsprogram, bokföringsprogrammet, bokföringsprogram	N
accumulator, accumulators	ackumulator, ackumulatorn, ackumulatorer	N
accuracy, accuracies	noggrannhet, noggrannheten, noggrannheter	N
achieve, achieved, achieved	 uppnå, uppnådde, uppnått	V
acknowledge, acknowledgemeed, acknowledgemeed	 erkänna, erkände, erkänt	V
acoustic	akustisk, akustiskt	A
acoustic, acoustics	akustik, akustiken, akustiker	N
acronym, acronyms	akronym, akronymen, akronymer	N
act, acts	handling, handlingen, handlingar	N
act, acted, acted	 agera, agerade, agerat	V
action, actions	handling, handlingen, handlingar	N
activation, activations	aktivering, aktiveringen, aktiveringar	N
active	aktiv, aktivt	A
actor, actors	skådespelare, skådespelaren, skådespelare	N
ad, ads	reklam, reklamen, reklamer	N
adaptation, adaptations	anpassning, anpassningen, anpassningar	N
adapter, adapters	adapter, adaptern, adaptrar	N
